,user,item,time,rate
0,40,1263,0,1
1,1448,1422,1,1
2,128,2568,2,1
3,1740,218,3,1
4,1283,5785,4,1
5,210,9476,4,1
6,210,904,4,1
7,210,907,4,1
8,210,9399,4,1
9,210,9292,4,1
10,401,6938,4,1
11,1283,2284,4,1
12,210,8997,4,1
13,210,8968,4,1
14,210,911,4,1
15,1283,2267,4,1
16,210,912,4,1
17,210,8833,4,1
18,1283,2158,4,1
19,210,9486,4,1
20,210,9494,4,1
21,210,903,4,1
22,210,913,4,1
23,1283,2922,4,1
24,1283,198,4,1
25,210,10585,4,1
26,401,11655,4,1
27,1718,2278,4,1
28,1283,204,4,1
29,210,10179,4,1
30,210,9646,4,1
31,401,10350,4,1
32,210,9911,4,1
33,1283,254,4,1
34,210,900,4,1
35,210,902,4,1
36,210,9718,4,1
37,210,9715,4,1
38,401,7084,4,1
39,401,8409,4,1
40,210,8785,4,1
41,1283,2107,4,1
42,401,1677,4,1
43,1283,1681,4,1
44,1283,1676,4,1
45,192,3165,4,1
46,210,992,4,1
47,1283,1618,4,1
48,210,997,4,1
49,192,3529,4,1
50,210,7640,4,1
51,1283,1445,4,1
52,210,7569,4,1
53,1283,1365,4,1
54,210,7564,4,1
55,210,1014,4,1
56,1283,1358,4,1
57,210,1094,4,1
58,210,7934,4,1
59,210,8772,4,1
60,210,979,4,1
61,210,8009,4,1
62,401,5646,4,1
63,1283,1937,4,1
64,210,8744,4,1
65,210,8653,4,1
66,210,915,4,1
67,1283,1775,4,1
68,210,917,4,1
69,210,8363,4,1
70,210,924,4,1
71,210,8079,4,1
72,1718,2108,4,1
73,210,8025,4,1
74,210,8019,4,1
75,192,2935,4,1
76,401,247,4,1
77,210,976,4,1
78,1718,2281,4,1
79,1718,2408,4,1
80,1718,2469,4,1
81,210,781,4,1
82,1283,5369,4,1
83,1283,5339,4,1
84,210,782,4,1
85,210,885,4,1
86,210,892,4,1
87,1283,5008,4,1
88,1283,4981,4,1
89,1049,132,4,1
90,210,893,4,1
91,1283,4712,4,1
92,1049,74,4,1
93,1718,3407,4,1
94,1718,3076,4,1
95,1283,4435,4,1
96,1283,5699,4,1
97,210,779,4,1
98,210,2215,4,1
99,1283,5796,4,1
100,210,757,4,1
101,210,762,4,1
102,1283,7694,4,1
103,210,764,4,1
104,1283,7546,4,1
105,210,768,4,1
106,1283,7089,4,1
107,1049,69,4,1
108,1283,6841,4,1
109,1283,6759,4,1
110,210,773,4,1
111,1283,6197,4,1
112,1283,5965,4,1
113,210,776,4,1
114,1283,5823,4,1
115,210,778,4,1
116,210,772,4,1
117,1049,64,4,1
118,210,894,4,1
119,210,895,4,1
120,1283,3425,4,1
121,1283,3414,4,1
122,1283,3274,4,1
123,210,11121,4,1
124,1283,167,4,1
125,1718,2941,4,1
126,1718,2672,4,1
127,1283,160,4,1
128,210,898,4,1
129,210,10923,4,1
130,1718,2667,4,1
131,210,10844,4,1
132,1283,185,4,1
133,210,10813,4,1
134,1718,2503,4,1
135,210,10812,4,1
136,1283,3079,4,1
137,1718,1799,4,1
138,210,897,4,1
139,1283,152,4,1
140,210,12224,4,1
141,1283,4339,4,1
142,210,896,4,1
143,1049,56,4,1
144,1283,128,4,1
145,210,11842,4,1
146,1718,2962,4,1
147,1283,3428,4,1
148,1283,140,4,1
149,210,11655,4,1
150,1283,3719,4,1
151,210,11650,4,1
152,1283,3686,4,1
153,1283,3661,4,1
154,1718,2946,4,1
155,1283,3579,4,1
156,1283,3732,4,1
157,210,7554,4,1
158,1718,789,4,1
159,1283,1254,4,1
160,210,3570,4,1
161,210,3476,4,1
162,1718,793,4,1
163,210,3433,4,1
164,210,1828,4,1
165,210,1896,4,1
166,210,3362,4,1
167,210,2048,4,1
168,210,3316,4,1
169,210,3304,4,1
170,1283,550,4,1
171,210,3213,4,1
172,210,3208,4,1
