,user,item,time,rate
0,222,1248,59,1
1,833,1035,59,1
2,1068,3347,59,1
3,264,3266,59,1
4,508,10687,59,1
5,996,725,59,1
6,787,5358,59,1
7,508,10126,59,1
8,1017,9059,59,1
9,222,817,59,1
10,787,357,59,1
11,264,4274,59,1
12,512,2985,59,1
13,1249,7002,59,1
14,1068,2863,59,1
15,1249,6889,59,1
16,264,54,59,1
17,264,4292,59,1
18,264,4839,59,1
19,508,7019,59,1
20,512,1154,59,1
21,512,1137,59,1
22,512,1022,59,1
23,833,610,59,1
24,833,483,59,1
25,512,19,59,1
26,86,7656,59,1
27,1068,1835,59,1
28,46,69,59,1
29,222,2144,59,1
30,86,283,59,1
31,1249,4620,59,1
32,1524,5495,59,1
33,251,2412,59,1
34,1524,4874,59,1
35,787,257,59,1
36,222,2455,59,1
37,1249,2909,59,1
38,81,6804,59,1
39,81,5619,59,1
40,1770,10751,59,1
41,81,2406,59,1
42,81,2067,59,1
43,81,2062,59,1
44,81,2061,59,1
45,1249,2826,59,1
46,46,1342,59,1
47,81,2060,59,1
48,46,1345,59,1
49,1249,2753,59,1
50,81,2059,59,1
51,1249,2640,59,1
52,81,203,59,1
53,1315,256,59,1
54,1770,10551,59,1
55,1249,2546,59,1
56,46,1427,59,1
57,46,1721,59,1
58,1770,10378,59,1
59,277,1126,59,1
60,1524,8421,59,1
61,1249,3210,59,1
62,1068,50,59,1
63,787,7919,59,1
64,46,624,59,1
65,277,506,59,1
66,787,7920,59,1
67,46,811,59,1
68,1315,1810,59,1
69,787,313,59,1
70,787,7921,59,1
71,787,311,59,1
72,787,290,59,1
73,1249,4449,59,1
74,787,278,59,1
75,787,9063,59,1
76,1249,191,59,1
77,46,1000,59,1
78,787,9558,59,1
79,787,271,59,1
80,787,11539,59,1
81,1249,4230,59,1
82,787,264,59,1
83,1249,4179,59,1
84,787,261,59,1
85,1249,3723,59,1
86,1315,438,59,1
87,787,259,59,1
88,1315,436,59,1
89,46,1320,59,1
90,1249,3293,59,1
91,46,1015,59,1
92,512,6496,59,1
93,46,7232,59,1
94,46,7989,59,1
95,1515,4624,59,1
96,1249,467,59,1
97,1249,468,59,1
98,1515,1518,59,1
99,1249,469,59,1
100,1515,1526,59,1
101,1249,878,59,1
102,1515,4306,59,1
103,1249,486,59,1
104,1770,1339,59,1
105,1515,4222,59,1
106,1770,3832,59,1
107,1249,866,59,1
108,1249,487,59,1
109,1249,488,59,1
110,1554,981,59,1
111,1249,851,59,1
112,1515,1656,59,1
113,46,11950,59,1
114,1554,1013,59,1
115,1249,838,59,1
116,1515,1668,59,1
117,1515,1669,59,1
118,1249,833,59,1
119,1515,1683,59,1
120,1515,4001,59,1
121,1515,1690,59,1
122,1770,3917,59,1
123,1515,4000,59,1
