,user,item,time,rate
0,222,939,64,1
1,724,7652,64,1
2,1770,7004,64,1
3,1458,1526,64,1
4,712,562,64,1
5,1770,7001,64,1
6,1534,11234,64,1
7,644,859,64,1
8,1249,4240,64,1
9,1249,1330,64,1
10,1534,11231,64,1
11,1458,1104,64,1
12,724,7821,64,1
13,1680,646,64,1
14,1458,548,64,1
15,1770,6827,64,1
16,1680,644,64,1
17,1458,536,64,1
18,1534,11116,64,1
19,1770,6823,64,1
20,1458,534,64,1
21,1458,513,64,1
22,222,934,64,1
23,1458,503,64,1
24,1458,130,64,1
25,1161,274,64,1
26,1115,1757,64,1
27,1771,199,64,1
28,718,292,64,1
29,1888,203,64,1
30,719,4635,64,1
31,1770,8714,64,1
32,1680,2452,64,1
33,719,2402,64,1
34,264,268,64,1
35,1697,448,64,1
36,264,289,64,1
37,1770,10640,64,1
38,365,807,64,1
39,644,82,64,1
40,1770,10781,64,1
41,1697,254,64,1
42,719,7525,64,1
43,1680,2612,64,1
44,1115,4529,64,1
45,719,1843,64,1
46,1534,12506,64,1
47,1249,7967,64,1
48,1249,6531,64,1
49,1888,139,64,1
50,1770,10927,64,1
51,724,331,64,1
52,1888,144,64,1
53,1888,50,64,1
54,922,1681,64,1
55,1534,12482,64,1
56,1697,160,64,1
57,599,11505,64,1
58,719,7526,64,1
59,599,12326,64,1
60,600,257,64,1
61,1680,1370,64,1
62,600,254,64,1
63,231,416,64,1
64,197,251,64,1
65,600,262,64,1
66,724,58,64,1
67,211,10449,64,1
68,1888,127,64,1
69,1770,8930,64,1
70,632,413,64,1
71,1115,4315,64,1
72,600,250,64,1
73,600,152,64,1
74,922,1625,64,1
75,719,12459,64,1
76,719,7528,64,1
77,1888,136,64,1
78,600,94,64,1
79,264,53,64,1
80,1770,9554,64,1
81,264,67,64,1
82,719,7527,64,1
83,1770,9964,64,1
84,1770,9991,64,1
85,1770,10054,64,1
86,264,86,64,1
87,1534,12465,64,1
88,231,482,64,1
89,1888,48,64,1
90,1115,4749,64,1
91,724,1690,64,1
92,724,2052,64,1
93,222,1131,64,1
94,719,719,64,1
95,231,2185,64,1
96,1770,7949,64,1
97,1770,11967,64,1
98,1770,7941,64,1
99,231,3956,64,1
100,1680,1003,64,1
101,1031,931,64,1
102,1888,178,64,1
103,724,2262,64,1
104,1154,9752,64,1
105,637,8769,64,1
106,718,3902,64,1
107,1770,7719,64,1
108,1770,7712,64,1
109,718,2821,64,1
110,365,5170,64,1
111,922,1432,64,1
112,724,3297,64,1
113,1680,853,64,1
114,1031,475,64,1
115,600,288,64,1
116,1680,11657,64,1
117,1115,10298,64,1
118,724,1250,64,1
119,922,2652,64,1
120,1249,5421,64,1
121,3,186,64,1
122,719,1386,64,1
123,231,575,64,1
124,724,534,64,1
125,719,1372,64,1
126,1249,8350,64,1
127,1115,6108,64,1
128,1770,11221,64,1
129,724,793,64,1
130,1888,6,64,1
131,1888,157,64,1
132,1534,12340,64,1
133,1888,160,64,1
134,1770,11361,64,1
135,1888,167,64,1
136,1249,1233,64,1
137,1680,3599,64,1
138,1144,5831,64,1
139,1115,7371,64,1
140,68,427,64,1
141,724,907,64,1
142,724,911,64,1
143,1249,6040,64,1
144,1144,8079,64,1
145,724,993,64,1
146,1888,177,64,1
147,1115,8650,64,1
148,1770,8097,64,1
149,719,722,64,1
150,1888,1524,64,1
151,76,1943,64,1
152,10,454,64,1
153,1770,2977,64,1
154,353,820,64,1
155,729,1577,64,1
156,1010,5765,64,1
157,353,627,64,1
158,352,286,64,1
159,729,4428,64,1
160,729,5364,64,1
161,191,864,64,1
162,97,387,64,1
163,762,4813,64,1
164,1586,1067,64,1
165,1010,6564,64,1
166,211,12180,64,1
167,1534,7525,64,1
168,55,1506,64,1
169,191,719,64,1
170,1888,2082,64,1
171,762,3579,64,1
172,922,6633,64,1
173,222,687,64,1
174,99,8859,64,1
175,1534,7200,64,1
176,1770,2579,64,1
177,1010,5195,64,1
178,599,2571,64,1
179,211,8713,64,1
180,1010,6818,64,1
181,1534,7997,64,1
182,1534,8008,64,1
183,1672,1021,64,1
184,97,487,64,1
185,729,629,64,1
186,729,654,64,1
187,762,7784,64,1
188,729,793,64,1
189,644,2108,64,1
190,1770,3572,64,1
191,1249,2529,64,1
192,1249,2494,64,1
193,811,254,64,1
194,762,6611,64,1
195,1770,3069,64,1
196,812,651,64,1
197,1543,4319,64,1
198,1434,10747,64,1
199,10,2948,64,1
200,762,6045,64,1
201,56,1286,64,1
202,922,5348,64,1
203,191,1386,64,1
204,1010,9391,64,1
205,729,992,64,1
206,1586,5965,64,1
207,353,825,64,1
208,729,1575,64,1
209,1010,8676,64,1
210,1586,759,64,1
211,1534,8516,64,1
212,1534,7142,64,1
213,599,2091,64,1
214,1534,6451,64,1
215,1863,3375,64,1
216,600,607,64,1
217,1863,3370,64,1
218,1249,1493,64,1
219,1863,1395,64,1
220,1010,3274,64,1
221,644,2624,64,1
222,1534,6426,64,1
223,1770,2108,64,1
224,644,2627,64,1
225,762,1292,64,1
226,1863,6585,64,1
227,1863,677,64,1
228,1154,814,64,1
229,644,2789,64,1
230,600,939,64,1
231,762,1045,64,1
232,762,1041,64,1
233,1534,6417,64,1
234,222,1318,64,1
235,211,12402,64,1
236,762,1000,64,1
237,1534,6416,64,1
238,1249,1501,64,1
239,1888,2160,64,1
240,1249,1127,64,1
241,922,6647,64,1
242,1863,10526,64,1
243,762,1766,64,1
244,599,1854,64,1
245,1863,12401,64,1
246,55,1502,64,1
