,user,item,time,rate
0,1888,202,54,1
1,1795,802,54,1
2,1114,7484,54,1
3,1114,6934,54,1
4,644,1629,54,1
5,1867,12412,54,1
6,1888,461,54,1
7,1888,394,54,1
8,1888,389,54,1
9,1888,382,54,1
10,1888,78,54,1
11,801,478,54,1
12,1795,386,54,1
13,1795,399,54,1
14,697,3504,54,1
15,801,482,54,1
16,801,7974,54,1
17,1795,561,54,1
18,922,1341,54,1
19,1114,2562,54,1
20,1795,790,54,1
21,1888,203,54,1
22,688,695,54,1
23,1770,242,54,1
24,1888,993,54,1
25,709,2791,54,1
26,643,2205,54,1
27,987,3681,54,1
28,56,1517,54,1
29,194,8246,54,1
30,787,244,54,1
31,1888,1682,54,1
32,922,3059,54,1
33,1888,1615,54,1
34,1888,1608,54,1
35,1821,9247,54,1
36,99,2413,54,1
37,99,6752,54,1
38,1795,9131,54,1
39,865,607,54,1
40,143,6418,54,1
41,697,6524,54,1
42,56,1518,54,1
43,1867,2088,54,1
44,195,8125,54,1
45,787,86,54,1
46,1867,1808,54,1
47,143,6398,54,1
48,99,5219,54,1
49,1829,4402,54,1
50,99,1081,54,1
51,863,4764,54,1
52,693,3300,54,1
53,1888,2663,54,1
54,1888,2277,54,1
55,1795,9770,54,1
56,1795,9532,54,1
57,1795,9294,54,1
58,697,7543,54,1
59,1888,2051,54,1
60,56,998,54,1
61,1829,4644,54,1
62,1867,1333,54,1
63,1867,1803,54,1
64,1696,11741,54,1
65,987,3420,54,1
66,1888,2048,54,1
67,56,1022,54,1
68,922,866,54,1
69,1776,572,54,1
70,697,6451,54,1
71,1795,7123,54,1
72,1795,7119,54,1
73,56,2893,54,1
74,1821,5109,54,1
75,1867,2629,54,1
76,1821,279,54,1
77,99,6511,54,1
78,99,6401,54,1
79,922,2125,54,1
80,56,4304,54,1
81,56,4731,54,1
82,99,6175,54,1
83,58,318,54,1
84,193,3549,54,1
85,923,394,54,1
86,1867,3903,54,1
87,1888,997,54,1
88,702,2406,54,1
89,193,2893,54,1
90,1795,8444,54,1
91,99,6525,54,1
92,37,5957,54,1
93,1069,1639,54,1
94,679,56,54,1
95,1888,1358,54,1
96,786,7914,54,1
97,786,2984,54,1
98,679,5368,54,1
99,99,7,54,1
100,786,2167,54,1
101,786,1811,54,1
102,697,1903,54,1
103,1696,50,54,1
104,1829,4733,54,1
105,99,5275,54,1
106,1867,2093,54,1
107,1795,8714,54,1
108,1069,1545,54,1
109,1888,1255,54,1
110,193,4063,54,1
111,1888,1254,54,1
112,1867,2621,54,1
113,1888,1132,54,1
114,644,7116,54,1
115,833,62,54,1
116,1696,197,54,1
117,644,4411,54,1
118,124,232,54,1
119,1829,9698,54,1
120,211,851,54,1
121,1829,6567,54,1
122,1031,478,54,1
123,865,1385,54,1
124,833,331,54,1
125,697,187,54,1
126,1829,9723,54,1
127,168,1782,54,1
128,697,197,54,1
129,865,7633,54,1
130,1770,554,54,1
131,865,7749,54,1
132,1829,10098,54,1
133,922,6934,54,1
134,99,2079,54,1
135,865,8548,54,1
136,693,12265,54,1
137,211,853,54,1
138,1829,10157,54,1
139,86,2962,54,1
140,124,1326,54,1
141,1829,8487,54,1
142,758,7757,54,1
143,1829,3233,54,1
144,1754,998,54,1
145,1754,623,54,1
146,644,6640,54,1
147,865,1392,54,1
148,758,7840,54,1
149,1807,12210,54,1
150,1821,610,54,1
151,99,2052,54,1
152,1829,456,54,1
153,1829,9221,54,1
154,890,385,54,1
