,Unnamed: 0,user,item,rate,time,real-time
0,402696,1510,1130,1,218947,2000-11
1,402697,1510,1206,1,218947,2000-11
2,402698,1510,3076,1,218947,2000-11
3,402699,1977,2359,1,218948,2000-11
4,402700,1297,1551,1,218949,2000-11
5,402701,1297,2092,1,218949,2000-11
6,402702,1297,1869,1,218949,2000-11
7,402703,1748,1047,1,218950,2000-11
8,402704,1748,3237,1,218950,2000-11
9,402705,1510,2649,1,218951,2000-11
10,402706,1243,2067,1,218952,2000-11
11,402707,1243,1746,1,218952,2000-11
12,402708,1243,24,1,218952,2000-11
13,402709,1243,1056,1,218952,2000-11
14,402710,1243,2141,1,218952,2000-11
15,402711,1218,1408,1,218953,2000-11
16,402712,1218,707,1,218953,2000-11
17,402713,1283,853,1,218954,2000-11
18,402714,1283,2962,1,218954,2000-11
19,402715,1283,812,1,218954,2000-11
20,402716,1977,2369,1,218955,2000-11
21,402717,1679,2095,1,218956,2000-11
22,402718,1679,3107,1,218956,2000-11
23,402719,1243,1223,1,218957,2000-11
24,402720,1811,1748,1,218958,2000-11
25,402721,1679,1152,1,218959,2000-11
26,402722,1748,3160,1,218960,2000-11
27,402723,1297,1292,1,218961,2000-11
28,402724,1283,1112,1,218962,2000-11
29,402725,1283,1059,1,218962,2000-11
30,402726,1283,3076,1,218962,2000-11
31,402727,1243,1235,1,218963,2000-11
32,402728,1302,3272,1,218964,2000-11
33,402729,1811,1100,1,218965,2000-11
34,402730,1220,1898,1,218966,2000-11
35,402731,1220,347,1,218966,2000-11
36,402732,1220,556,1,218966,2000-11
37,402733,1220,3017,1,218966,2000-11
38,402734,1218,333,1,218967,2000-11
39,402735,1500,3027,1,218968,2000-11
40,402736,1243,1338,1,218969,2000-11
41,402737,1243,1686,1,218969,2000-11
42,402738,1243,1732,1,218969,2000-11
43,402739,1679,1343,1,218970,2000-11
44,402740,1748,1074,1,218971,2000-11
45,402741,1748,106,1,218971,2000-11
46,402742,1283,3161,1,218972,2000-11
47,402743,1283,2434,1,218972,2000-11
48,402744,1283,817,1,218972,2000-11
49,402745,1283,1456,1,218972,2000-11
50,402746,1283,3234,1,218972,2000-11
51,402747,1302,2013,1,218973,2000-11
52,402748,1243,529,1,218974,2000-11
53,402749,1243,3123,1,218974,2000-11
54,402750,1243,3264,1,218974,2000-11
55,402751,1214,502,1,218975,2000-11
56,402752,1214,288,1,218975,2000-11
