,Unnamed: 0,user,item,rate,time,real-time
0,345168,2037,35,1,192312,2000-11
1,345169,2099,10,1,192312,2000-11
2,345170,2037,3391,1,192312,2000-11
3,345171,2037,1671,1,192312,2000-11
4,345172,2037,3088,1,192312,2000-11
5,345173,2037,1746,1,192312,2000-11
6,345174,2028,3094,1,192313,2000-11
7,345175,2023,2986,1,192314,2000-11
8,345176,2023,33,1,192314,2000-11
9,345177,2031,213,1,192315,2000-11
10,345178,2099,1614,1,192316,2000-11
11,345179,2099,2003,1,192316,2000-11
12,345180,2091,2629,1,192317,2000-11
13,345181,2091,1475,1,192317,2000-11
14,345182,2091,1042,1,192317,2000-11
15,345183,2091,839,1,192317,2000-11
16,345184,2024,46,1,192318,2000-11
17,345185,2037,2898,1,192319,2000-11
18,345186,2099,1532,1,192320,2000-11
19,345187,2028,1445,1,192321,2000-11
20,345188,2028,2710,1,192321,2000-11
21,345189,2037,790,1,192322,2000-11
22,345190,2091,959,1,192323,2000-11
23,345191,2026,2840,1,192324,2000-11
24,345192,2023,2770,1,192325,2000-11
25,345193,2024,449,1,192326,2000-11
26,345194,2024,592,1,192326,2000-11
27,345195,2024,1176,1,192326,2000-11
28,345196,2024,1399,1,192326,2000-11
29,345197,2024,2702,1,192326,2000-11
30,345198,2037,2401,1,192327,2000-11
31,345199,2037,814,1,192327,2000-11
32,345200,2037,1691,1,192327,2000-11
33,345201,2037,2849,1,192327,2000-11
34,345202,2022,336,1,192328,2000-11
35,345203,2023,1224,1,192329,2000-11
36,345204,2091,582,1,192330,2000-11
37,345205,2030,2659,1,192331,2000-11
38,345206,2037,317,1,192332,2000-11
39,345207,2037,1854,1,192332,2000-11
40,345208,2023,1147,1,192333,2000-11
41,345209,2022,1113,1,192334,2000-11
42,345210,2022,1421,1,192334,2000-11
43,345211,2046,33,1,192335,2000-11
44,345212,2024,357,1,192336,2000-11
45,345213,2091,1669,1,192337,2000-11
46,345214,2026,1482,1,192338,2000-11
47,345215,2031,1261,1,192339,2000-11
48,345216,2023,525,1,192340,2000-11
49,345217,2023,2093,1,192340,2000-11
50,345218,2029,3231,1,192341,2000-11
51,345219,2029,2940,1,192341,2000-11
52,345220,2029,2603,1,192341,2000-11
53,345221,2099,1832,1,192342,2000-11
54,345222,2099,1325,1,192342,2000-11
55,345223,2046,1113,1,192343,2000-11
56,345224,2037,859,1,192343,2000-11
57,345225,2037,1665,1,192343,2000-11
58,345226,2037,3458,1,192343,2000-11
59,345227,2037,282,1,192343,2000-11
60,345228,2024,739,1,192344,2000-11
61,345229,2091,1126,1,192345,2000-11
62,345230,2091,1658,1,192345,2000-11
63,345231,2091,1800,1,192345,2000-11
64,345232,2046,1053,1,192346,2000-11
65,345233,2030,2575,1,192347,2000-11
66,345234,2031,360,1,192348,2000-11
67,345235,2091,1058,1,192349,2000-11
68,345236,2026,2003,1,192350,2000-11
69,345237,2029,793,1,192351,2000-11
70,345238,2029,3509,1,192351,2000-11
71,345239,2099,100,1,192351,2000-11
72,345240,2099,352,1,192351,2000-11
73,345241,2029,798,1,192351,2000-11
74,345242,2029,1074,1,192351,2000-11
75,345243,2029,2601,1,192351,2000-11
76,345244,2029,2682,1,192351,2000-11
77,345245,2025,1126,1,192352,2000-11
78,345246,2025,3457,1,192352,2000-11
79,345247,2025,2992,1,192352,2000-11
80,345248,2023,2584,1,192353,2000-11
81,345249,2023,952,1,192353,2000-11
82,345250,2091,953,1,192354,2000-11
83,345251,2091,2583,1,192354,2000-11
84,345252,2034,1083,1,192355,2000-11
85,345253,2022,2984,1,192356,2000-11
86,345254,2022,2987,1,192356,2000-11
87,345255,2023,1150,1,192357,2000-11
88,345256,2024,1058,1,192358,2000-11
89,345257,2024,575,1,192358,2000-11
90,345258,2024,278,1,192358,2000-11
91,345259,2046,2575,1,192359,2000-11
92,345260,2029,1137,1,192360,2000-11
93,345261,2029,3077,1,192360,2000-11
94,345262,2029,835,1,192360,2000-11
95,345263,2029,2282,1,192360,2000-11
96,345264,2037,1058,1,192361,2000-11
97,345265,2026,1043,1,192362,2000-11
98,345266,2030,3153,1,192363,2000-11
99,345267,2030,2850,1,192363,2000-11
100,345268,2099,211,1,192364,2000-11
101,345269,2034,3294,1,192365,2000-11
102,345270,2031,1204,1,192366,2000-11
103,345271,2031,1203,1,192366,2000-11
104,345272,2031,1205,1,192366,2000-11
105,345273,2031,1206,1,192366,2000-11
106,345274,2031,1208,1,192366,2000-11
107,345275,2031,1207,1,192366,2000-11
108,345276,2091,566,1,192367,2000-11
109,345277,2099,1612,1,192368,2000-11
110,345278,2099,176,1,192368,2000-11
111,345279,2099,416,1,192368,2000-11
112,345280,2022,245,1,192368,2000-11
113,345281,2099,2825,1,192369,2000-11
114,345282,2046,2659,1,192370,2000-11
115,345283,2029,1119,1,192371,2000-11
116,345284,2029,1099,1,192371,2000-11
117,345285,2029,2636,1,192371,2000-11
118,345286,2029,3153,1,192371,2000-11
119,345287,2029,843,1,192371,2000-11
120,345288,2037,3042,1,192372,2000-11
121,345289,2037,3252,1,192372,2000-11
122,345290,2037,3281,1,192372,2000-11
123,345291,2037,1029,1,192372,2000-11
124,345292,2024,406,1,192373,2000-11
125,345293,2024,1544,1,192373,2000-11
126,345294,2046,1093,1,192374,2000-11
127,345295,2046,1326,1,192374,2000-11
128,345296,2023,1102,1,192375,2000-11
129,345297,2022,1043,1,192376,2000-11
130,345298,2025,1666,1,192377,2000-11
131,345299,2025,1663,1,192377,2000-11
132,345300,2025,1924,1,192377,2000-11
133,345301,2025,834,1,192377,2000-11
134,345302,2025,800,1,192377,2000-11
135,345303,2099,548,1,192378,2000-11
136,345304,2099,2431,1,192378,2000-11
137,345305,2030,220,1,192379,2000-11
138,345306,2030,2622,1,192379,2000-11
139,345307,2030,2035,1,192379,2000-11
140,345308,2091,962,1,192380,2000-11
141,345309,2023,2982,1,192381,2000-11
142,345310,2024,1408,1,192382,2000-11
143,345311,2024,2829,1,192382,2000-11
144,345312,2099,347,1,192383,2000-11
145,345313,2026,502,1,192384,2000-11
146,345314,2026,1070,1,192384,2000-11
147,345315,2037,1683,1,192385,2000-11
148,345316,2037,278,1,192385,2000-11
149,345317,2037,3036,1,192385,2000-11
150,345318,2022,1041,1,192386,2000-11
151,345319,2031,560,1,192387,2000-11
152,345320,2091,1639,1,192388,2000-11
153,345321,2023,797,1,192389,2000-11
154,345322,2099,1650,1,192390,2000-11
155,345323,2022,278,1,192391,2000-11
156,345324,2026,563,1,192392,2000-11
157,345325,2037,24,1,192393,2000-11
158,345326,2037,3264,1,192393,2000-11
159,345327,2024,1749,1,192394,2000-11
160,345328,2024,1284,1,192394,2000-11
161,345329,2046,1147,1,192395,2000-11
162,345330,2034,948,1,192396,2000-11
163,345331,2023,3146,1,192397,2000-11
164,345332,2022,563,1,192398,2000-11
165,345333,2091,1078,1,192399,2000-11
166,345334,2091,1496,1,192399,2000-11
167,345335,2091,1854,1,192399,2000-11
168,345336,2091,2089,1,192399,2000-11
169,345337,2029,998,1,192400,2000-11
170,345338,2029,2460,1,192400,2000-11
171,345339,2029,1087,1,192400,2000-11
172,345340,2029,2986,1,192400,2000-11
173,345341,2037,2725,1,192401,2000-11
174,345342,2026,49,1,192402,2000-11
175,345343,2026,245,1,192402,2000-11
176,345344,2099,645,1,192403,2000-11
177,345345,2022,2476,1,192404,2000-11
178,345346,2023,3211,1,192404,2000-11
179,345347,2023,38,1,192404,2000-11
